Year,World Green Coffee Yield (kg/ha)
1961,464
1962,443.2
1963,401.6
1964,384.1
1965,509.5
1966,425.6
1967,460.6
1968,433.6
1969,475.1
1970,433.3
1971,514.1
1972,511.1
1973,471.5
1974,531.5
1975,511.6
1976,444.3
1977,489.5
1978,502.5
1979,508.2
1980,480.5
1981,584.8
1982,503.2
1983,550.3
1984,513.7
1985,562.7
1986,498.1
1987,594.5
1988,511.5
1989,530.7
1990,543.4
1991,562.2
1992,587.8
1993,548.4
1994,583.9
1995,570.5
1996,632.6
1997,617.7
1998,655.8
1999,661.1
2000,699.8
2001,694.6
2002,760.8
2003,683.8
2004,724.9
2005,697.2
2006,759.6
2007,757.5
2008,802.1
2009,745.5
2010,806.9
2011,845.7
2012,858.6
2013,850.1
2014,847
2015,822.4
2016,870.1
2017,902.5
2018,922.8
2019,862.7
2020,930.8
2021,832.6
2022,883.4
